filename,kind,roll,card_id,scene,take,size_bytes,destination,checksum_algorithm,checksum,verified
A017_C001_0825Q7.mp4,video,A017,A017,24B,5,362371,PRIMARY,sha256,4a92d4e853b1eca2ae46179dbc097eb6c5f4cffeb053d9018436865b9229101c,true
A017_C001_0825Q7.mp4,video,A017,A017,24B,5,362371,SECONDARY,sha256,,false
A017_C002_0825Q7.mp4,video,A017,A017,24B,6,364055,PRIMARY,sha256,69e5029614f8c81cb7b6ddbfa03d23dec7743919e4fd31c516dd6d9847fa20bf,true
A017_C002_0825Q7.mp4,video,A017,A017,24B,6,364055,SECONDARY,sha256,,false
A017_C003_0825Q7.mp4,video,A017,A017,24B,7,361151,PRIMARY,sha256,da8f59694beb05588b53ea5ab554398cded2aec978e5f898c5b25d84689ea73f,true
A017_C003_0825Q7.mp4,video,A017,A017,24B,7,361151,SECONDARY,sha256,,false
SR12_024B_T05.wav,audio,SR12,SOUND,24B,5,2073702,PRIMARY,sha256,6db4daf61144dfa26f685e937fe345a5a974a84f4a2ea499abddcc251a5836da,true
SR12_024B_T05.wav,audio,SR12,SOUND,24B,5,2073702,SECONDARY,sha256,6db4daf61144dfa26f685e937fe345a5a974a84f4a2ea499abddcc251a5836da,true
SR12_024B_T06.wav,audio,SR12,SOUND,24B,6,2073702,PRIMARY,sha256,b9c8f5b6799c6df6a7119b800ae41474c972b10856458f94f146575eec913c4b,true
SR12_024B_T06.wav,audio,SR12,SOUND,24B,6,2073702,SECONDARY,sha256,b9c8f5b6799c6df6a7119b800ae41474c972b10856458f94f146575eec913c4b,true
